species,R1,H1,W1,N5,N3,I2,E1,O1,N4,N6,N2,B1,Z1,W2,Z2,F1,M2,T1,K1,D1,S1,D3,E2,B2,L1,O2,W4,H3,H4,X1,T2
CANINE,S,S,N/I,None,N/I,None,S,S,N/I,None,None,R,S,N/I,S,None,N/I,N/I,None,R,N/I,R,S,R,N/I,None,None,N/I,N/I,N/I,None
CANINE,R,R,S,S,S,R,S,S,S,S,S,R,S,S,S,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,R,S,None,S,S,S,S,S,None,None,S,S,S,S,None,S,S,None,S,S,S,S,S,None,None,S,S,R,None,None
CANINE,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,S,None,S,S,S,S,S,None,None,S,S,S,S,None,S,S,None,S,S,S,S,S,S,None,S,S,S,S,None
CANINE,S,S,N/I,N/I,N/I,None,S,S,N/I,N/I,N/I,R,S,N/I,S,None,None,N/I,None,R,None,R,S,R,None,None,None,None,None,None,None
CANINE,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,R,S,None,S,S,S,S,S,None,None,S,S,S,S,S,S,S,None,None,S,None,None,R,None,S,None,S,R,None,None
CANINE,None,None,S,S,None,None,None,S,None,None,None,None,S,S,S,R,None,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,None,None,N/I,None,N/I,None,N/I,N/I,N/I,N/I,None,N/I,N/I,N/I,N/I,None,N/I,N/I,None,N/I,N/I,N/I,N/I,N/I,None,None,N/I,N/I,N/I,None,None
CANINE,S,R,S,None,I,S,S,R,S,None,None,TF,I,S,R,None,S,S,None,S,S,S,S,S,S,None,S,S,R,S,None
CANINE,S,S,S,N/I,S,S,S,S,S,N/I,N/I,R,S,S,S,None,S,S,None,S,S,S,S,S,S,None,None,S,S,S,None
CANINE,S,S,None,None,None,None,S,S,None,None,None,I,S,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,None,None,None,None,S,S,None,None,None,S,S,None,I,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,S,R,S,S,S,S,S,R,S,S,S,R,R,S,R,S,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,S,R,S,None,S,S,S,S,S,None,None,R,S,S,S,None,S,S,None,S,S,S,S,R,None,None,S,S,R,None,None
FELINE,S,S,S,None,S,S,S,S,S,None,None,S,S,S,S,S,S,S,None,None,S,None,None,S,None,None,None,S,S,None,None
CANINE,R,R,S,N/I,R,R,S,R,R,N/I,None,R,R,I,R,None,R,R,None,R,R,R,S,R,S,None,None,R,R,S,None
CANINE,S,S,S,N/I,S,S,S,I,S,N/I,N/I,I,I,S,I,None,R,S,None,S,S,S,S,S,S,None,None,S,S,S,None
CANINE,S,R,S,None,S,S,S,S,S,None,None,S,S,S,S,S,S,S,None,None,S,None,None,S,None,None,None,S,R,None,None
FELINE,S,R,S,None,S,S,S,S,S,None,None,S,S,S,S,None,S,S,None,R,R,R,S,S,None,None,None,S,R,None,None
